id,fecha_creacion,fecha_cierre,area,categoria,prioridad,canal,solicitante,asunto,descripcion,estado,reaperturas
TK-00452,03/06/2025,,Talento Humano,SOFTWARE,2-Media,Correo,usuario048@lafortuna.com.co,Error al guardar el formulario de ingreso,Requerimiento remitido por la jefatura del área para gestión.,Escalado,0
TK-01120,07/03/2026,2026-03-30,Calidad,Viáticos,ALTA,Formulario web,usuario038@lafortuna.com.co,Cuál es el monto autorizado para hospedaje,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Escalado,
TK-00417,12-Jun-2025,,Aplicaciones,Conectividad,Media,correo,usuario033@lafortuna.com.co,Muy lenta la conexión en la bodega,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,en proceso,0
TK-00238,26-May-2025,,Calidad,Nomina,CRITICA,Teléfono,usuario172@lafortuna.com.co,Error en el descuento de la quincena,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,En proceso,0
TK-01764,2025-10-10,,Talento Humano,vacaciones,baja,correo,usuario148@lafortuna.com.co,Con cuánta anticipación debo solicitar vacaciones,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,reabierto,2
TK-00082,10/05/2026,,,Conectividad,MEDIA,Mesa de ayuda,usuario072@lafortuna.com.co,La VPN se desconecta cada media hora,,reabierto,1
TK-00614,16/03/2026,,Infraestructura,Accesos,1-Alta,Teléfono,usuario012@lafortuna.com.co,Se bloqueó mi usuario tras varios intentos,Requerimiento remitido por la jefatura del área para gestión.,Reabierto,2
TK-00607,15/02/2025,,Infraestructura,Incidente,baja,Telefono,usuario176@lafortuna.com.co,Se cayó el servicio de facturación,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,abierto,0
TK-01847,2025-11-28,02-Dic-2025,Contabilidad,ACCESOS,MEDIA,Correo,usuario109@lafortuna.com.co,Necesito acceso a la carpeta compartida de mi área,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,cerrado,0
TK-00682,07-Nov-2025,2025-11-12,Calidad,OTROS,CRITICA,Mesa de ayuda,usuario170@lafortuna.com.co,Requerimiento del área ,Se adjunta captura de pantalla del mensaje de error recibido.,Cerrado,0
TK-00390,10/06/2025,24/07/2025,Contabilidad,Gestión de accesos,Baja,formulario,usuario113@lafortuna.com.co,No puedo entrar al sistema Centrica,Se adjunta captura de pantalla del mensaje de error recibido.,cerrado,0
TK-01836,17/04/2026,,Comercial,equipos,baja,Teléfono,usuario118@lafortuna.com.co,La impresora de la sede norte imprime rayada,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Escalado,0
TK-00594,23-Jul-2025,,Comercial,,2-Media,correo,usuario064@lafortuna.com.co,Consulta general,El caso fue reportado por teléfono y se registra para trazabilidad.,reabierto,2
TK-00088,26-Ene-2026,,Operaciones,Capacitación,Alta,formulario,usuario117@lafortuna.com.co,Cuándo es la próxima inducción,Requerimiento remitido por la jefatura del área para gestión.,En proceso,0
TK-01729,26/07/2025,04/09/2025,Infraestructura,Accesos,Crítica,Formulario web,usuario006@lafortuna.com.co,Solicito permiso al módulo de cartera,Se adjunta captura de pantalla del mensaje de error recibido.,Reabierto,2
TK-01642,2025-10-16,,Contabilidad,hardware,2-Media,Correo,usuario138@lafortuna.com.co,Necesito un monitor adicional para el puesto,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,reabierto,2
TK-01517,2025-08-15,04/09/2025,Calidad,software,3-Baja,correo,usuario030@lafortuna.com.co,Necesito que instalen el visor de planos,Se adjunta captura de pantalla del mensaje de error recibido.,Reabierto,1
TK-01342,2026-04-26,,Aplicaciones,Aplicaciones,Media,Mesa de ayuda,usuario140@lafortuna.com.co,La versión instalada no coincide con la del área,Requerimiento remitido por la jefatura del área para gestión.,abierto,0
TK-01409,2025-10-23,09/11/2025,Infraestructura,ACCESOS,media,correo,usuario095@lafortuna.com.co,Se bloqueó mi usuario tras varios intentos,El caso fue reportado por teléfono y se registra para trazabilidad.,CERRADO,0
TK-00855,10-Mar-2026,,Talento Humano,compras,baja,Telefono,usuario030@lafortuna.com.co,El proveedor no ha entregado lo solicitado,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Abierto,0
TK-01591,01-Mar-2025,,Aplicaciones,Software,3-Baja,correo,usuario106@lafortuna.com.co,La versión instalada no coincide con la del área,,Abierto,0
TK-01906,15-Jun-2025,,Talento Humano,HARDWARE,3-Baja,Correo,usuario147@lafortuna.com.co,El portátil no enciende desde ayer,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,abierto,0
TK-00252,19/02/2026,23/02/2026,Infraestructura,OTROS,ALTA,Formulario web,usuario167@lafortuna.com.co,Pendiente por definir,Se adjunta captura de pantalla del mensaje de error recibido.,Cerrado,0
TK-01635,2025-07-05,,Operaciones,Software,Alta,Teléfono,usuario109@lafortuna.com.co,La aplicación se cierra al generar el informe,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,REABIERTO,3
TK-01552,21/03/2026,,Calidad,Viáticos,CRITICA,Telefono,usuario158@lafortuna.com.co,Cómo legalizo los viáticos del viaje a la costa,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,Escalado,0
TK-00493,07/05/2026,2026-05-18,Talento Humano,VACACIONES,Crítica,Teléfono,usuario120@lafortuna.com.co,Cuántos días tengo acumulados,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,en proceso,0
TK-01632,20-Nov-2025,24/12/2025,Operaciones,informes,3-Baja,Mesa de ayuda,usuario180@lafortuna.com.co,El reporte no incluye la sede nueva,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Cerrado,0
TK-01441,2025-10-13,,Operaciones,Compras,MEDIA,Correo,usuario066@lafortuna.com.co,Estado de la orden de compra 4471,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,REABIERTO,1
TK-01684,09-Nov-2025,2025-11-22,Compras,Nomina,CRITICA,formulario,usuario118@lafortuna.com.co,Solicito certificado laboral con salario,,CERRADO,0
TK-01378,2026-01-15,,Aplicaciones,Otros,MEDIA,Mesa de ayuda,,Requerimiento del área,,Abierto,0
TK-01542,04/03/2026,,Calidad,Viáticos,Alta,Formulario web,usuario078@lafortuna.com.co,Necesito anticipo para comisión,El caso fue reportado por teléfono y se registra para trazabilidad.,reabierto,2
TK-00955,2026-01-06,,Calidad,compras,Critica,Telefono,usuario051@lafortuna.com.co,Cómo registro un proveedor nuevo,,REABIERTO,2
TK-00539,29-Ene-2025,,Talento Humano,ACCESOS,Baja,Mesa de ayuda,usuario043@lafortuna.com.co,Solicito permiso al módulo de cartera ,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,abierto,0
TK-00919,2026-05-22,2026-06-10,Contabilidad,,Critica,Mesa de ayuda,usuario130@lafortuna.com.co,Requerimiento del área,,en proceso,0
TK-01941,2025-03-03,,Talento Humano,Viáticos,alta,formulario,,Cómo legalizo los viáticos del viaje a la costa,,en proceso,0
TK-00991,06-May-2025,,Contabilidad,ACCESOS,Alta,Correo,usuario157@lafortuna.com.co,Necesito acceso a la carpeta compartida de mi área,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,en proceso,0
TK-00191,2025-04-24,,Comercial,Hardware,Baja,formulario,usuario040@lafortuna.com.co,El teclado dejó de responder,Requerimiento remitido por la jefatura del área para gestión.,En proceso,0
TK-01118,08-May-2025,,Operaciones,VACACIONES,media,Formulario web,usuario071@lafortuna.com.co,Puedo dividir mis vacaciones en dos periodos,Se adjunta captura de pantalla del mensaje de error recibido.,reabierto,
TK-01424,18/04/2025,31-May-2025,Infraestructura,otros,Media,Correo,usuario149@lafortuna.com.co,Solicitud varias,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,cerrado,0
TK-01843,25-Feb-2025,,Talento Humano,accesos,Critica,Telefono,usuario161@lafortuna.com.co,Se bloqueó mi usuario tras varios intentos,,reabierto,3
TK-01728,31/07/2025,2025-08-23,,nomina,Media,Correo,usuario094@lafortuna.com.co,Diferencia en el pago de horas extras,,CERRADO,0
TK-00021,2026-03-25,11/04/2026,Talento Humano,Viaticos,media,Correo,usuario088@lafortuna.com.co,Cuál es el monto autorizado para hospedaje,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,cerrado,1
TK-00909,2026-06-24,,,red,Critica,formulario,usuario157@lafortuna.com.co,La VPN se desconecta cada media hora,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Reabierto,2
TK-00293,05/01/2026,,Infraestructura,accesos,Crítica,correo,usuario057@lafortuna.com.co,Necesito acceso a la carpeta compartida de mi área,,En proceso,0
TK-00396,08-Oct-2025,,Comercial,vacaciones,baja,correo,usuario081@lafortuna.com.co,Con cuánta anticipación debo solicitar vacaciones,El caso fue reportado por teléfono y se registra para trazabilidad.,Escalado,0
TK-01100,26/06/2026,,Operaciones,Hardware,baja,Telefono,usuario127@lafortuna.com.co,El teclado dejó de responder,Requerimiento remitido por la jefatura del área para gestión.,abierto,0
TK-00812,03/03/2025,28/03/2025,Aplicaciones,Órdenes de compra,Alta,Telefono,usuario143@lafortuna.com.co,Cómo registro un proveedor nuevo,El caso fue reportado por teléfono y se registra para trazabilidad.,Cerrado,0
TK-01586,23/08/2025,,Compras,equipos,Crítica,Telefono,,El teclado dejó de responder,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,Escalado,0
TK-01141,06-Mar-2025,,Calidad,Acceso,Baja,correo,usuario144@lafortuna.com.co,Se bloqueó mi usuario tras varios intentos,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Abierto,
TK-00154,2025-07-19,31/08/2025,Operaciones,Aplicaciones,media,Formulario web,usuario122@lafortuna.com.co,Necesito que instalen el visor de planos,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,En proceso,0
TK-00529,29/11/2025,,Talento Humano,Software,Media,Telefono,usuario074@lafortuna.com.co,Necesito que instalen el visor de planos,,REABIERTO,2
TK-00124,29-Oct-2025,,Comercial,viaticos,MEDIA,Mesa de ayuda,usuario053@lafortuna.com.co,Necesito anticipo para comisión,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Abierto,0
TK-01512,2025-04-19,05/05/2025,Calidad,Software,ALTA,formulario,usuario059@lafortuna.com.co,La versión instalada no coincide con la del área,El caso fue reportado por teléfono y se registra para trazabilidad.,CERRADO,0
TK-00490,05-Mar-2025,14-Mar-2025,Calidad,Hardware,media,Correo,usuario132@lafortuna.com.co,Necesito un monitor adicional para el puesto,El caso fue reportado por teléfono y se registra para trazabilidad.,Cerrado,0
TK-00257,2025-10-20,,Operaciones,Acceso,Alta,formulario,usuario149@lafortuna.com.co,Se bloqueó mi usuario tras varios intentos,El caso fue reportado por teléfono y se registra para trazabilidad.,Reabierto,2
TK-01327,27/02/2026,,Infraestructura,Reportes,Critica,Mesa de ayuda,usuario050@lafortuna.com.co,Necesito el reporte de ventas del trimestre,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,En proceso,0
TK-00623,08-May-2025,06-Jun-2025,Compras,aplicaciones,CRITICA,Mesa de ayuda,usuario166@lafortuna.com.co,La aplicación se cierra al generar el informe,Se adjunta captura de pantalla del mensaje de error recibido.,cerrado,
TK-00761,28/08/2025,,Contabilidad,SOFTWARE,MEDIA,Mesa de ayuda,usuario092@lafortuna.com.co,La aplicación se cierra al generar el informe,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Escalado,0
TK-01388,2025-09-08,,Talento Humano,viáticos,Media,Teléfono,usuario062@lafortuna.com.co,Cuál es el monto autorizado para hospedaje,Se adjunta captura de pantalla del mensaje de error recibido.,abierto,0
TK-01475,02-Mar-2025,,Operaciones,Nómina,alta,Teléfono,usuario009@lafortuna.com.co,Diferencia en el pago de horas extras,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,REABIERTO,2
TK-01837,19/02/2026,25/03/2026,Aplicaciones,Software,CRITICA,correo,usuario145@lafortuna.com.co,Error al guardar el formulario de ingreso,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,reabierto,
TK-01018,15-May-2026,,Talento Humano,informes,ALTA,Correo,usuario014@lafortuna.com.co,Solicito exportar el listado a Excel,,REABIERTO,1
TK-01404,25/07/2025,,Compras,aplicaciones,CRITICA,Mesa de ayuda,usuario021@lafortuna.com.co,La aplicación se cierra al generar el informe,,reabierto,2
TK-00405,2026-01-11,,Compras,Acceso,2-Media,correo,usuario054@lafortuna.com.co,Necesito acceso a la carpeta compartida de mi área,,Abierto,0
TK-01035,18-Abr-2025,,Calidad,INCIDENTE,Baja,Formulario web,usuario162@lafortuna.com.co,Los usuarios reportan lentitud generalizada,Requerimiento remitido por la jefatura del área para gestión.,En proceso,0
TK-00561,26/07/2025,11/08/2025,,Acceso,alta,Formulario web,usuario092@lafortuna.com.co,Solicito permiso al módulo de cartera,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,CERRADO,0
TK-00167,2025-10-12,,,HARDWARE,CRITICA,correo,usuario030@lafortuna.com.co,El teclado dejó de responder,El caso fue reportado por teléfono y se registra para trazabilidad.,reabierto,2
TK-00967,01/01/2025,13-Ene-2025,,Reportes,Crítica,Telefono,usuario101@lafortuna.com.co,El reporte no incluye la sede nueva,Se adjunta captura de pantalla del mensaje de error recibido.,cerrado,0
TK-00133,29/06/2026,,Comercial,vacaciones,media,Correo,usuario067@lafortuna.com.co,Me negaron las vacaciones solicitadas,,Escalado,0
TK-00833,2025-01-18,28/02/2025,Calidad,Equipos,2-Media,Formulario web,usuario070@lafortuna.com.co,Solicito reposición de diadema dañada,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Cerrado,0
TK-00029,2025-02-26,08-Mar-2025,Infraestructura,Gestión de accesos,Crítica,Correo,usuario027@lafortuna.com.co,Solicito permiso al módulo de cartera,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,CERRADO,0
TK-01253,30-Jun-2026,11/07/2026,Infraestructura,incidente,baja,Mesa de ayuda,usuario042@lafortuna.com.co,Caída total del sistema en la sede principal,Se adjunta captura de pantalla del mensaje de error recibido.,Escalado,0
TK-00285,05/06/2026,,Infraestructura,aplicaciones,Baja,Correo,usuario147@lafortuna.com.co,Aparece un mensaje de sesión expirada cada cinco minutos,El caso fue reportado por teléfono y se registra para trazabilidad.,en proceso,0
TK-01673,29-May-2026,12-Jul-2026,Contabilidad,Reportes,Media,Correo,usuario144@lafortuna.com.co,Solicito exportar el listado a Excel,Se adjunta captura de pantalla del mensaje de error recibido.,REABIERTO,1
TK-01336,2026-04-19,,Comercial,aplicaciones,Crítica,Correo,usuario180@lafortuna.com.co,Aparece un mensaje de sesión expirada cada cinco minutos,,abierto,0
TK-00978,06-Ene-2025,02-Feb-2025,Operaciones,software,alta,Correo,,Error al guardar el formulario de ingreso,Se adjunta captura de pantalla del mensaje de error recibido.,Cerrado,0
TK-01931,2026-05-29,,Contabilidad,accesos,Critica,Correo,usuario138@lafortuna.com.co,Solicito permiso al módulo de cartera,Se adjunta captura de pantalla del mensaje de error recibido.,Escalado,0
TK-00215,28-Abr-2025,2025-06-07,Comercial,capacitacion,Media,formulario,usuario031@lafortuna.com.co,Cuándo es la próxima inducción,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Cerrado,0
TK-01918,2025-03-29,07-Abr-2025,Aplicaciones,viaticos,3-Baja,formulario,usuario063@lafortuna.com.co,Necesito anticipo para comisión,,Cerrado,1
TK-01003,20/10/2025,,Talento Humano,Software,media,Telefono,usuario059@lafortuna.com.co,Necesito que instalen el visor de planos,,Reabierto,3
TK-00881,08-Jul-2025,,Calidad,Incidente,ALTA,Teléfono,usuario123@lafortuna.com.co,Caída total del sistema en la sede principal,El caso fue reportado por teléfono y se registra para trazabilidad.,Abierto,0
TK-00262,16/11/2025,,Calidad,software,Crítica,Telefono,usuario140@lafortuna.com.co,La versión instalada no coincide con la del área,El caso fue reportado por teléfono y se registra para trazabilidad.,En proceso,0
TK-00459,08-May-2025,10/05/2025,,Nomina,Crítica,Mesa de ayuda,usuario113@lafortuna.com.co,Error en el descuento de la quincena,Requerimiento remitido por la jefatura del área para gestión.,cerrado,0
TK-00439,2026-02-13,,Infraestructura,Vacaciones,2-Media,Correo,usuario135@lafortuna.com.co,Me negaron las vacaciones solicitadas,Requerimiento remitido por la jefatura del área para gestión.,en proceso,0
TK-01307,04/06/2025,,Compras,informes,baja,Teléfono,usuario004@lafortuna.com.co,Necesito el reporte de ventas del trimestre,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,reabierto,3
TK-01668,2026-03-12,,Aplicaciones,incidente,Crítica,Telefono,usuario053@lafortuna.com.co,Pérdida de información en el módulo de inventario,El caso fue reportado por teléfono y se registra para trazabilidad.,REABIERTO,3
TK-01637,10/02/2025,19-Mar-2025,Comercial,Gestión de accesos,2-Media,formulario,usuario001@lafortuna.com.co,Necesito acceso a la carpeta compartida de mi área,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Cerrado,0
TK-01493,18-Mar-2025,,Infraestructura,Conectividad,Media,correo,usuario013@lafortuna.com.co,Muy lenta la conexión en la bodega,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,En proceso,0
TK-00650,03/06/2025,18/06/2025,Calidad,Capacitación,CRITICA,formulario,usuario177@lafortuna.com.co,Cuándo es la próxima inducción,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Cerrado,1
TK-01695,16/03/2026,,Operaciones,capacitación,Alta,Teléfono,,Solicito capacitación en el módulo nuevo,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,abierto,0
TK-00862,21-Jun-2026,,Infraestructura,Red,alta,Formulario web,usuario168@lafortuna.com.co,Sin internet en el segundo piso,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,En proceso,0
TK-01506,04/12/2025,,Aplicaciones,red,2-Media,Correo,usuario029@lafortuna.com.co,La VPN se desconecta cada media hora,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,abierto,0
TK-01104,2025-04-19,2025-05-12,,Capacitación,MEDIA,correo,usuario048@lafortuna.com.co,Cuándo es la próxima inducción,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,cerrado,0
TK-01733,17/03/2026,,,software,2-Media,Teléfono,usuario050@lafortuna.com.co,La aplicación se cierra al generar el informe,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,REABIERTO,2
TK-01630,2025-12-16,19/12/2025,Compras,vacaciones,baja,Correo,usuario168@lafortuna.com.co,Me negaron las vacaciones solicitadas,Requerimiento remitido por la jefatura del área para gestión.,En proceso,0
TK-00560,18-Feb-2025,2025-04-02,Infraestructura,RED,2-Media,correo,usuario163@lafortuna.com.co,Sin internet en el segundo piso,El caso fue reportado por teléfono y se registra para trazabilidad.,CERRADO,
TK-00228,13/02/2025,,Compras,nomina,3-Baja,correo,,Diferencia en el pago de horas extras,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Abierto,0
TK-01896,18/02/2025,,Compras,Vacaciones,ALTA,Mesa de ayuda,usuario144@lafortuna.com.co,Con cuánta anticipación debo solicitar vacaciones,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,abierto,0
TK-01372,11/07/2025,,Infraestructura,RED,1-Alta,Formulario web,usuario131@lafortuna.com.co,No carga el sistema desde la sede sur,Requerimiento remitido por la jefatura del área para gestión.,REABIERTO,1
TK-00698,15-Oct-2025,,Infraestructura,Software,Media,Mesa de ayuda,usuario174@lafortuna.com.co,Necesito que instalen el visor de planos,El caso fue reportado por teléfono y se registra para trazabilidad.,en proceso,0
TK-01908,10/05/2025,,Comercial,viáticos,alta,Mesa de ayuda,usuario151@lafortuna.com.co,Necesito anticipo para comisión,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Escalado,0
TK-00045,2025-12-16,,Aplicaciones,Red,baja,Correo,usuario081@lafortuna.com.co,Sin internet en el segundo piso,Requerimiento remitido por la jefatura del área para gestión.,reabierto,1
TK-01407,2025-07-21,,Operaciones,Equipos,2-Media,formulario,usuario027@lafortuna.com.co,Solicito reposición de diadema dañada,El caso fue reportado por teléfono y se registra para trazabilidad.,Reabierto,2
TK-01267,2025-06-13,2025-07-20,Operaciones,Gestión de accesos,Media,Telefono,usuario066@lafortuna.com.co,Necesito acceso a la carpeta compartida de mi área,Se adjunta captura de pantalla del mensaje de error recibido.,CERRADO,0
TK-01771,23-Oct-2025,,Compras,ORDENES DE COMPRA,MEDIA,Mesa de ayuda,usuario019@lafortuna.com.co,Estado de la orden de compra 4471 ,Requerimiento remitido por la jefatura del área para gestión.,abierto,0
TK-00612,2025-08-30,,Aplicaciones,Software,Baja,Correo,usuario031@lafortuna.com.co,Error al guardar el formulario de ingreso,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,reabierto,2
TK-01589,27-Sep-2025,,Aplicaciones,Aplicaciones,Crítica,formulario,usuario157@lafortuna.com.co,Necesito que instalen el visor de planos,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Escalado,0
TK-00182,09-Mar-2026,,Compras,aplicaciones,1-Alta,Correo,usuario134@lafortuna.com.co,Necesito que instalen el visor de planos,,Abierto,0
TK-01362,02/01/2025,21-Ene-2025,Talento Humano,Hardware,baja,formulario,usuario125@lafortuna.com.co,La impresora de la sede norte imprime rayada,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,cerrado,0
TK-00780,22/07/2025,,Calidad,vacaciones,alta,correo,usuario073@lafortuna.com.co,Me negaron las vacaciones solicitadas,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,abierto,0
TK-00072,14/10/2025,2025-11-21,Infraestructura,SOFTWARE,baja,Formulario web,usuario092@lafortuna.com.co,La aplicación se cierra al generar el informe,Se adjunta captura de pantalla del mensaje de error recibido.,Cerrado,0
TK-00189,11/04/2025,,Compras,HARDWARE,1-Alta,Teléfono,usuario056@lafortuna.com.co,Solicito reposición de diadema dañada,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,REABIERTO,2
TK-01234,2025-08-19,,Calidad,NOMINA,baja,Telefono,usuario095@lafortuna.com.co,Error en el descuento de la quincena,Requerimiento remitido por la jefatura del área para gestión.,REABIERTO,1
TK-01816,16/05/2025,,Infraestructura,nómina,alta,Formulario web,usuario120@lafortuna.com.co,Diferencia en el pago de horas extras,,Reabierto,2
TK-01145,2025-04-26,,Compras,Accesos,MEDIA,correo,usuario164@lafortuna.com.co,Solicito permiso al módulo de cartera,,En proceso,0
TK-01352,29/12/2025,29/01/2026,Contabilidad,accesos,Crítica,Correo,usuario139@lafortuna.com.co,No puedo entrar al sistema Centrica,Requerimiento remitido por la jefatura del área para gestión.,Cerrado,0
TK-00692,02/06/2026,,Infraestructura,APLICACIONES,baja,Mesa de ayuda,usuario073@lafortuna.com.co,Necesito que instalen el visor de planos ,El caso fue reportado por teléfono y se registra para trazabilidad.,Abierto,
TK-00728,30/05/2025,,Compras,compras,Alta,Telefono,usuario074@lafortuna.com.co,Estado de la orden de compra 4471,,Escalado,0
TK-00018,2025-06-16,,Contabilidad,informes,CRITICA,Telefono,usuario025@lafortuna.com.co,El informe muestra cifras distintas al sistema,Se adjunta captura de pantalla del mensaje de error recibido.,reabierto,1
TK-00765,2025-03-26,2025-04-27,Compras,Hardware,3-Baja,formulario,usuario110@lafortuna.com.co,El teclado dejó de responder,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,CERRADO,1
TK-01017,01/05/2026,11/06/2026,Contabilidad,conectividad,Baja,Teléfono,usuario140@lafortuna.com.co,La VPN se desconecta cada media hora,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Cerrado,1
TK-00290,2025-12-20,16/01/2026,Compras,ACCESOS,CRITICA,correo,,Necesito acceso a la carpeta compartida de mi área,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,En proceso,0
TK-01929,09/08/2025,,Talento Humano,Accesos,1-Alta,Teléfono,usuario043@lafortuna.com.co,Necesito acceso a la carpeta compartida de mi área,El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Abierto,0
TK-01420,2025-11-15,,Compras,software,baja,Formulario web,usuario039@lafortuna.com.co,La aplicación se cierra al generar el informe,El caso fue reportado por teléfono y se registra para trazabilidad.,abierto,0
TK-01265,24-Jun-2025,25/06/2025,Compras,Software,Baja,Formulario web,usuario009@lafortuna.com.co,Aparece un mensaje de sesión expirada cada cinco minutos,,Cerrado,0
TK-00435,18/07/2025,,Talento Humano,Aplicaciones,media,Teléfono,usuario122@lafortuna.com.co,La aplicación se cierra al generar el informe,El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,reabierto,3
TK-01016,11/06/2026,25/07/2026,Aplicaciones,RED,2-Media,Mesa de ayuda,usuario150@lafortuna.com.co,La VPN se desconecta cada media hora,Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,cerrado,0
